pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,0,0,0,0,16,2,66,2,,,,,161.79917004100025,162.79344866600013,162.79344866600013,162.79344866600013,162.79344866600013,162.79344866600013,163.7902737909999,163.7902737909999,c,1,0.3084411250001722,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,16,3,67,3,,,,,164.10645220800006,165.09456825000007,165.09456825000007,165.09456825000007,165.09456825000007,165.1040884160002,166.0907822080003,166.0907822080003,z,1,0.3136246670001128,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,17,0,68,0,,,,,166.41587212500008,167.410547125,167.410547125,167.410547125,167.410547125,167.410547125,168.40731883299986,168.40731883299986,x,1,0.29517474999966,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,17,1,69,1,,,,,168.71594249999998,169.71063837500014,169.71063837500014,169.71063837500014,169.71063837500014,169.71063837500014,170.6993050000001,170.6993050000001,v,1,0.21297658299954492,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,17,2,70,2,,,,,170.92467612500013,171.91102583300017,171.91102583300017,171.91102583300017,171.91102583300017,171.9205957500003,172.91610329100013,172.91610329100013,c,1,0.2872850010003276,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,17,3,71,3,,,,,173.21608199999991,174.202057041,174.202057041,174.202057041,174.202057041,174.21675562500013,175.19961866599988,175.19961866599988,z,1,0.25787504199979594,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,18,0,72,0,,,,,175.47431766599993,176.46161129100028,176.46161129100028,176.46161129100028,176.46161129100028,176.47066220800025,177.45795187500016,177.45795187500016,x,1,0.3336680420002267,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,18,1,73,1,,,,,177.8073372910003,178.79508358300018,178.79508358300018,178.79508358300018,178.79508358300018,178.8041037500002,179.7911706660002,179.7911706660002,v,1,0.22729708299993945,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,18,2,74,2,,,,,180.03307641599986,181.03327641600026,181.03327641600026,181.03327641600026,181.03327641600026,181.05035729100018,182.02450016600005,182.02450016600005,c,1,0.26877637500001583,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-150,z,0,0,0,0,18,3,75,3,,,,,182.3073260000001,183.29462037500025,183.29462037500025,183.29462037500025,183.29462037500025,183.30352516599987,184.29112804099987,184.29112804099987,z,1,0.2803160839998782,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
-50,x,0,0,0,0,19,0,76,0,,,,,184.583195875,185.57710799999995,185.57710799999995,185.57710799999995,185.57710799999995,185.57710799999995,186.5665698749999,186.5665698749999,x,1,0.26009925000016665,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
150,v,0,0,0,0,19,1,77,1,,,,,186.84125941599996,187.82881179100013,187.82881179100013,187.82881179100013,187.82881179100013,187.8383557080001,188.8245635000003,188.8245635000003,v,1,0.287702624999838,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
50,c,0,0,0,0,19,2,78,2,,,,,189.12422916600008,190.11150854100015,190.11150854100015,190.11150854100015,190.11150854100015,190.1205962500003,191.11677770799997,191.11677770799997,c,1,0.220508584000072,None,1,001,2023-10-14_20h03.11.899,Sequence_Learning,2023.1.3,None,
